IDProduct,IDProductSubcategory,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
51,7,DRYF-OM,DryFit Essential - Orange - M,DryFit Essential,Moisture-wicking performance t-shirt.,Orange,M,U,12.09,23.84
52,7,DRYF-PM,DryFit Essential - Purple - M,DryFit Essential,Moisture-wicking performance t-shirt.,Purple,M,W,12.83,25.09
53,7,DRYF-NL,DryFit Essential - Navy - L,DryFit Essential,Moisture-wicking performance t-shirt.,Navy,L,M,12.91,25.31
54,7,COTT-BM,Cotton Classic - Black - M,Cotton Classic,Soft cotton training t-shirt.,Black,M,M,10.25,19.15
55,7,COTT-TL,Cotton Classic - Teal - L,Cotton Classic,Soft cotton training t-shirt.,Teal,L,U,10.21,19.81
56,7,COTT-PM,Cotton Classic - Purple - M,Cotton Classic,Soft cotton training t-shirt.,Purple,M,U,9.26,19.62
57,7,COTT-BXL,Cotton Classic - Black - XL,Cotton Classic,Soft cotton training t-shirt.,Black,XL,U,10.12,19.52
58,7,COTT-BL,Cotton Classic - Black - L,Cotton Classic,Soft cotton training t-shirt.,Black,L,W,9.6,20.18
59,7,COMP-BL,Compression Pro - Black - L,Compression Pro,Tight-fit compression t-shirt for performance.,Black,L,M,16.63,34.71
60,7,COMP-GXL,Compression Pro - Green - XL,Compression Pro,Tight-fit compression t-shirt for performance.,Green,XL,W,19.25,36.34
61,7,COMP-BS,Compression Pro - Black - S,Compression Pro,Tight-fit compression t-shirt for performance.,Black,S,M,17.51,35.46
62,7,COMP-GL,Compression Pro - Green - L,Compression Pro,Tight-fit compression t-shirt for performance.,Green,L,M,15.93,35.34
63,8,FLEX-GXL,"FlexRun 5"" - Grey - XL","FlexRun 5""",Lightweight 5-inch running shorts with liner.,Grey,XL,U,13.48,28.95
64,8,FLEX-GS,"FlexRun 5"" - Grey - S","FlexRun 5""",Lightweight 5-inch running shorts with liner.,Grey,S,M,14.23,31.23
65,8,FLEX-GL,"FlexRun 5"" - Grey - L","FlexRun 5""",Lightweight 5-inch running shorts with liner.,Grey,L,U,16.89,31.43
66,8,FLEX-YM,"FlexRun 5"" - Yellow - M","FlexRun 5""",Lightweight 5-inch running shorts with liner.,Yellow,M,W,14.72,29.46
67,8,FLEX-GM,"FlexRun 5"" - Grey - M","FlexRun 5""",Lightweight 5-inch running shorts with liner.,Grey,M,U,14.88,31.41
68,8,CARG-PL,Cargo Training - Purple - L,Cargo Training,Durable training shorts with pockets.,Purple,L,U,18.84,35.28
69,8,CARG-WS,Cargo Training - White - S,Cargo Training,Durable training shorts with pockets.,White,S,M,18.28,34.43
70,8,CARG-PM,Cargo Training - Purple - M,Cargo Training,Durable training shorts with pockets.,Purple,M,M,16.44,35.39
71,8,CARG-YS,Cargo Training - Yellow - S,Cargo Training,Durable training shorts with pockets.,Yellow,S,W,18.2,33.95
72,8,SWIM-OS,SwimTech - Orange - S,SwimTech,Quick-dry swim shorts.,Orange,S,W,12.94,28.32
73,8,SWIM-NXL,SwimTech - Navy - XL,SwimTech,Quick-dry swim shorts.,Navy,XL,U,12.98,27.79
74,8,SWIM-OXL,SwimTech - Orange - XL,SwimTech,Quick-dry swim shorts.,Orange,XL,U,14.81,29.08
75,8,SWIM-RS,SwimTech - Red - S,SwimTech,Quick-dry swim shorts.,Red,S,U,14.09,29.19
76,9,POWE-BXL,PowerStretch - Blue - XL,PowerStretch,High-waist compression leggings.,Blue,XL,U,20.29,44.53
77,9,POWE-GXL,PowerStretch - Green - XL,PowerStretch,High-waist compression leggings.,Green,XL,U,20.69,45.26
78,9,POWE-WM,PowerStretch - White - M,PowerStretch,High-waist compression leggings.,White,M,W,22.54,44.75
79,9,POWE-GM,PowerStretch - Grey - M,PowerStretch,High-waist compression leggings.,Grey,M,M,22.63,42.87
80,9,FLEX-OM,FlexFlow - Orange - M,FlexFlow,Lightweight breathable leggings for yoga.,Orange,M,W,20.25,39.93
81,9,FLEX-GM-1,FlexFlow - Grey - M,FlexFlow,Lightweight breathable leggings for yoga.,Grey,M,U,22.65,41.65
82,9,FLEX-RM,FlexFlow - Red - M,FlexFlow,Lightweight breathable leggings for yoga.,Red,M,U,19.51,39.09
83,9,FLEX-OL,FlexFlow - Orange - L,FlexFlow,Lightweight breathable leggings for yoga.,Orange,L,W,18.86,41.81
84,9,THER-PL,ThermoTight - Pink - L,ThermoTight,Thermal winter running leggings.,Pink,L,U,29.22,56.49
85,9,THER-GL,ThermoTight - Green - L,ThermoTight,Thermal winter running leggings.,Green,L,M,24.07,53.19
86,9,THER-TS,ThermoTight - Teal - S,ThermoTight,Thermal winter running leggings.,Teal,S,W,25.62,55.09
87,10,WARM-YM,WarmUp Hoodie - Yellow - M,WarmUp Hoodie,Fleece-lined training hoodie.,Yellow,M,U,25.99,51.57
88,10,WARM-WS,WarmUp Hoodie - White - S,WarmUp Hoodie,Fleece-lined training hoodie.,White,S,U,25.55,51.48
89,10,WARM-RM,WarmUp Hoodie - Red - M,WarmUp Hoodie,Fleece-lined training hoodie.,Red,M,M,26.9,50.44
90,10,WARM-YS,WarmUp Hoodie - Yellow - S,WarmUp Hoodie,Fleece-lined training hoodie.,Yellow,S,W,25.44,49.7
91,10,TECH-BL,TechFleece Zip - Black - L,TechFleece Zip,Full-zip tech fleece hoodie.,Black,L,U,37.03,71.99
92,10,TECH-BS,TechFleece Zip - Black - S,TechFleece Zip,Full-zip tech fleece hoodie.,Black,S,U,32.93,70.59
93,10,TECH-OM,TechFleece Zip - Orange - M,TechFleece Zip,Full-zip tech fleece hoodie.,Orange,M,W,34.52,66.75
94,11,STOR-RS,StormShield - Red - S,StormShield,Waterproof running jacket with hood.,Red,S,W,39.35,86.12
95,11,STOR-RM,StormShield - Red - M,StormShield,Waterproof running jacket with hood.,Red,M,U,42.49,90.75
96,11,STOR-WS,StormShield - White - S,StormShield,Waterproof running jacket with hood.,White,S,U,47.5,92.49
97,11,WIND-PL,WindBreaker Lite - Purple - L,WindBreaker Lite,Ultralight packable wind jacket.,Purple,L,U,30.89,62.67
98,11,WIND-NM,WindBreaker Lite - Navy - M,WindBreaker Lite,Ultralight packable wind jacket.,Navy,M,U,27.58,58.17
99,11,WIND-NS,WindBreaker Lite - Navy - S,WindBreaker Lite,Ultralight packable wind jacket.,Navy,S,U,31.3,61.99
100,11,PUFF-NS,PuffDown 700 - Navy - S,PuffDown 700,700-fill down insulated jacket.,Navy,S,U,75.78,156.66
101,11,PUFF-NL,PuffDown 700 - Navy - L,PuffDown 700,700-fill down insulated jacket.,Navy,L,M,79.49,145.32
102,11,PUFF-YS,PuffDown 700 - Yellow - S,PuffDown 700,700-fill down insulated jacket.,Yellow,S,M,79.72,152.9
103,11,SOFT-PS,SoftShell Pro - Pink - S,SoftShell Pro,Stretchy softshell jacket for hiking.,Pink,S,M,47.44,100.53
104,11,SOFT-PM,SoftShell Pro - Pink - M,SoftShell Pro,Stretchy softshell jacket for hiking.,Pink,M,W,54.77,104.69
105,12,HIGH-X0,HighImpact Pro,HighImpact Pro,Maximum support sports bra for running.,0,0,0,17.47,38
106,12,LOWI-X0,LowImpact Yoga,LowImpact Yoga,Light support bra for yoga and pilates.,0,0,0,16.51,30.33
107,13,LAPS-PM,LapSwim Jammer - Pink - M,LapSwim Jammer,Chlorine-resistant competition jammer.,Pink,M,W,16.91,35.38
108,13,LAPS-GS,LapSwim Jammer - Green - S,LapSwim Jammer,Chlorine-resistant competition jammer.,Green,S,M,15.43,33.75
109,13,LAPS-NS,LapSwim Jammer - Navy - S,LapSwim Jammer,Chlorine-resistant competition jammer.,Navy,S,W,18.75,34.18
110,13,PROS-X0,ProSwim Suit,ProSwim Suit,One-piece competition swimsuit.,0,0,0,24.31,46.76
111,13,BEAC-RS,Beach Board Short - Red - S,Beach Board Short,Casual surf board shorts.,Red,S,U,14.19,29.98
112,13,BEAC-OM,Beach Board Short - Orange - M,Beach Board Short,Casual surf board shorts.,Orange,M,M,14.98,31.17
113,13,BEAC-BS,Beach Board Short - Black - S,Beach Board Short,Casual surf board shorts.,Black,S,M,14.41,30.65
114,14,THER-OM,ThermoBase Top - Orange - M,ThermoBase Top,Merino wool base layer top.,Orange,M,U,24.94,50.51
115,14,THER-OL,ThermoBase Top - Orange - L,ThermoBase Top,Merino wool base layer top.,Orange,L,M,25.71,52.09
116,14,THER-PL-1,ThermoBase Top - Purple - L,ThermoBase Top,Merino wool base layer top.,Purple,L,U,22.58,47.61
117,14,THER-WL,ThermoBase Bottom - White - L,ThermoBase Bottom,Merino wool base layer bottom.,White,L,U,20.61,44.91
118,14,THER-OM-1,ThermoBase Bottom - Orange - M,ThermoBase Bottom,Merino wool base layer bottom.,Orange,M,M,23.19,45.63
119,14,THER-NS,ThermoBase Bottom - Navy - S,ThermoBase Bottom,Merino wool base layer bottom.,Navy,S,W,23.8,43.52
120,14,COOL-BM,CoolMesh Top - Black - M,CoolMesh Top,Cooling mesh base layer for summer.,Black,M,W,17.83,34.55
121,14,COOL-BM-1,CoolMesh Top - Black - M,CoolMesh Top,Cooling mesh base layer for summer.,Black,M,M,17.5,35.91
122,15,CLAS-BS,ClassicTrack Set - Blue - S,ClassicTrack Set,Full tracksuit jacket and pants set.,Blue,S,M,31.96,66.41
123,15,CLAS-PS,ClassicTrack Set - Pink - S,ClassicTrack Set,Full tracksuit jacket and pants set.,Pink,S,U,29.96,65.56
124,15,CLAS-PM,ClassicTrack Set - Pink - M,ClassicTrack Set,Full tracksuit jacket and pants set.,Pink,M,U,36.2,66.47
125,15,SLIM-BL,SlimFit Track - Blue - L,SlimFit Track,Modern slim-fit tracksuit.,Blue,L,U,42.43,77.54
126,15,SLIM-GM,SlimFit Track - Grey - M,SlimFit Track,Modern slim-fit tracksuit.,Grey,M,U,39.61,76.33
127,15,SLIM-RS,SlimFit Track - Red - S,SlimFit Track,Modern slim-fit tracksuit.,Red,S,W,44.97,82.58
128,16,BREA-PM,BreatheFree Tank - Purple - M,BreatheFree Tank,Perforated training tank top.,Purple,M,W,10.09,22.09
129,16,BREA-GL,BreatheFree Tank - Green - L,BreatheFree Tank,Perforated training tank top.,Green,L,M,11.5,23.07
130,16,BREA-YS,BreatheFree Tank - Yellow - S,BreatheFree Tank,Perforated training tank top.,Yellow,S,M,11.8,23.99
131,16,BREA-GXL,BreatheFree Tank - Green - XL,BreatheFree Tank,Perforated training tank top.,Green,XL,U,11.44,23.31
132,16,RACE-X0,Racerback Tank,Racerback Tank,Racerback style gym tank.,0,0,0,11.88,24.61
133,17,INSU-GM,InsulateVest - Grey - M,InsulateVest,Lightweight insulated gilet.,Grey,M,M,33.94,70.25
134,17,INSU-PL,InsulateVest - Purple - L,InsulateVest,Lightweight insulated gilet.,Purple,L,M,32.63,67.38
135,17,INSU-GM-1,InsulateVest - Grey - M,InsulateVest,Lightweight insulated gilet.,Grey,M,W,32.99,67.82
136,17,REFL-PS,ReflectRun Vest - Pink - S,ReflectRun Vest,Hi-vis reflective running vest.,Pink,S,W,14.73,29.09
137,17,REFL-PS-1,ReflectRun Vest - Pink - S,ReflectRun Vest,Hi-vis reflective running vest.,Pink,S,M,15.62,28.58
138,18,EXPL-G0,Explorer 2P - Green,Explorer 2P,2-person dome tent - 3-season.,Green,0,0,111.5,184.52
139,18,EXPL-T0,Explorer 2P - Teal,Explorer 2P,2-person dome tent - 3-season.,Teal,0,0,111.89,182.8
140,18,ALPI-Y0,Alpine 3P - Yellow,Alpine 3P,3-person alpine tent - 4-season.,Yellow,0,0,201.05,344.72
141,18,ALPI-P0,Alpine 3P - Purple,Alpine 3P,3-person alpine tent - 4-season.,Purple,0,0,205.86,326.69
142,18,ULTR-Y0,UltraLite 1P - Yellow,UltraLite 1P,Ultralight 1-person backpacking tent.,Yellow,0,0,169.59,270.42
143,19,DAYH-Y0,DayHike 25L - Yellow,DayHike 25L,25-liter day hiking backpack.,Yellow,0,0,35.73,60.1
144,19,DAYH-N0,DayHike 25L - Navy,DayHike 25L,25-liter day hiking backpack.,Navy,0,0,34.9,61.44
145,19,DAYH-P0,DayHike 25L - Purple,DayHike 25L,25-liter day hiking backpack.,Purple,0,0,36.41,57.13
146,19,TREK-T0,TrekPack 50L - Teal,TrekPack 50L,50-liter trekking backpack with frame.,Teal,0,0,77.58,130.49
147,19,TREK-Y0,TrekPack 50L - Yellow,TrekPack 50L,50-liter trekking backpack with frame.,Yellow,0,0,76.78,130.93
148,19,GYMP-O0,GymPack 20L - Orange,GymPack 20L,Compact 20-liter gym backpack.,Orange,0,0,23.49,38.84
149,19,GYMP-R0,GymPack 20L - Red,GymPack 20L,Compact 20-liter gym backpack.,Red,0,0,24.8,41.59
150,19,GYMP-W0,GymPack 20L - White,GymPack 20L,Compact 20-liter gym backpack.,White,0,0,25.08,38.92
151,20,COMF-P0,ComfortSleep 0°C - Purple,ComfortSleep 0°C,Synthetic sleeping bag rated to 0°C.,Purple,0,0,48.79,86.5
152,20,COMF-P0-1,ComfortSleep 0°C - Pink,ComfortSleep 0°C,Synthetic sleeping bag rated to 0°C.,Pink,0,0,52.72,88.21
153,20,DOWN-Y0,DownDream -10°C - Yellow,DownDream -10°C,Down sleeping bag rated to -10°C.,Yellow,0,0,121.3,209.9
154,20,DOWN-T0,DownDream -10°C - Teal,DownDream -10°C,Down sleeping bag rated to -10°C.,Teal,0,0,113.53,199.5
155,21,GRIP-T0,GripFlow Mat - Teal,GripFlow Mat,Non-slip 6mm yoga mat.,Teal,0,0,17.17,30.36
156,21,GRIP-B0,GripFlow Mat - Black,GripFlow Mat,Non-slip 6mm yoga mat.,Black,0,0,16.81,28.7
157,21,GRIP-G0,GripFlow Mat - Green,GripFlow Mat,Non-slip 6mm yoga mat.,Green,0,0,18.92,29.73
158,21,GRIP-P0,GripFlow Mat - Pink,GripFlow Mat,Non-slip 6mm yoga mat.,Pink,0,0,16.97,28.81
159,21,TRAV-B0,TravelMat Thin - Black,TravelMat Thin,Foldable 3mm travel yoga mat.,Black,0,0,13.9,24.26
160,21,TRAV-R0,TravelMat Thin - Red,TravelMat Thin,Foldable 3mm travel yoga mat.,Red,0,0,16.87,26.15
161,21,TRAV-Y0,TravelMat Thin - Yellow,TravelMat Thin,Foldable 3mm travel yoga mat.,Yellow,0,0,16.02,25.92
162,22,HEXG-X0,HexGrip 5kg,HexGrip 5kg,Rubber hex dumbbell - 5kg pair.,0,0,0,19.22,31.13
163,22,HEXG-X0-1,HexGrip 10kg,HexGrip 10kg,Rubber hex dumbbell - 10kg pair.,0,0,0,31.08,50.1
164,22,HEXG-X0-2,HexGrip 15kg,HexGrip 15kg,Rubber hex dumbbell - 15kg pair.,0,0,0,37.62,66.73
165,22,ADJU-X0,Adjustable Set,Adjustable Set,Adjustable dumbbell set 2-20kg.,0,0,0,81.73,140.45
166,23,POWE-N0,PowerBand Light - Navy,PowerBand Light,Light resistance loop band.,Navy,0,0,6.24,10.3
167,23,POWE-G0,PowerBand Light - Grey,PowerBand Light,Light resistance loop band.,Grey,0,0,6.06,10.02
168,23,POWE-Y0-1,PowerBand Light - Yellow,PowerBand Light,Light resistance loop band.,Yellow,0,0,6.01,9.54
169,23,POWE-Y0-2,PowerBand Medium - Yellow,PowerBand Medium,Medium resistance loop band.,Yellow,0,0,8,12.95
170,23,POWE-P0,PowerBand Medium - Pink,PowerBand Medium,Medium resistance loop band.,Pink,0,0,7.87,12.39
171,23,POWE-B0,PowerBand Medium - Black,PowerBand Medium,Medium resistance loop band.,Black,0,0,7.74,13.41
172,23,POWE-N0-1,PowerBand Heavy - Navy,PowerBand Heavy,Heavy resistance loop band.,Navy,0,0,9.05,15.32
173,23,POWE-O0-1,PowerBand Heavy - Orange,PowerBand Heavy,Heavy resistance loop band.,Orange,0,0,8.69,15.26
174,23,BAND-X0,Band Set 5-Pack,Band Set 5-Pack,Set of 5 resistance bands - all levels.,0,0,0,18.54,30.06
175,24,TRAI-G0,TrailBlazer MTB - Green,TrailBlazer MTB,"Hardtail mountain bike - 29"" wheels.",Green,0,0,500.1,837.46
176,24,TRAI-N0,TrailBlazer MTB - Navy,TrailBlazer MTB,"Hardtail mountain bike - 29"" wheels.",Navy,0,0,494.54,783.14
177,24,TRAI-B0-1,TrailBlazer MTB - Black,TrailBlazer MTB,"Hardtail mountain bike - 29"" wheels.",Black,0,0,502.46,829.38
178,24,ROAD-R0,RoadRacer 700 - Red,RoadRacer 700,Carbon road bike - Shimano 105.,Red,0,0,897.34,1445.59
179,24,ROAD-P0,RoadRacer 700 - Pink,RoadRacer 700,Carbon road bike - Shimano 105.,Pink,0,0,844.97,1359.19
180,24,CITY-N0,CityCommuter - Navy,CityCommuter,Urban commuter bike with fenders and rack.,Navy,0,0,291.71,453.78
181,24,CITY-P0,CityCommuter - Pink,CityCommuter,Urban commuter bike with fenders and rack.,Pink,0,0,282.39,456.72
182,24,ECOR-P0,EcoRide E-Bike - Purple,EcoRide E-Bike,Electric assist city bike - 50km range.,Purple,0,0,783.27,1208.32
183,24,ECOR-B0,EcoRide E-Bike - Black,EcoRide E-Bike,Electric assist city bike - 50km range.,Black,0,0,711.26,1230.14
184,25,COMP-N0,CompactFold Chair - Navy,CompactFold Chair,Ultralight folding camp chair.,Navy,0,0,20.05,34.58
185,25,COMP-P0,CompactFold Chair - Pink,CompactFold Chair,Ultralight folding camp chair.,Pink,0,0,19.6,34.78
186,25,COMP-P0-1,CompactFold Chair - Purple,CompactFold Chair,Ultralight folding camp chair.,Purple,0,0,22.08,34.32
187,25,LOUN-O0,LoungeMax - Orange,LoungeMax,Oversized padded camping chair.,Orange,0,0,31.95,56.09
188,25,LOUN-T0,LoungeMax - Teal,LoungeMax,Oversized padded camping chair.,Teal,0,0,35.59,55.94
189,26,SPIN-X0,SpinCycle Pro,SpinCycle Pro,Indoor cycling spin bike.,0,0,0,313.06,518
190,26,ROWP-X0,RowPower 500,RowPower 500,Magnetic rowing machine.,0,0,0,364.25,602.3
191,26,TREA-X0,TreadMax,TreadMax,Foldable treadmill - 16km/h max.,0,0,0,498.94,789.02
192,27,MATC-R0,MatchDay Football - Red,MatchDay Football,FIFA-quality match football - size 5.,Red,0,0,17.42,30.96
193,27,MATC-G0,MatchDay Football - Green,MatchDay Football,FIFA-quality match football - size 5.,Green,0,0,16.21,29.19
194,27,MATC-O0,MatchDay Football - Orange,MatchDay Football,FIFA-quality match football - size 5.,Orange,0,0,16.53,28.99
195,27,PROG-R0,ProGrip Basketball - Red,ProGrip Basketball,Indoor/outdoor basketball - size 7.,Red,0,0,14.57,23.95
196,27,PROG-P0,ProGrip Basketball - Purple,ProGrip Basketball,Indoor/outdoor basketball - size 7.,Purple,0,0,15.71,25.03
197,27,RALL-R0,RallyPoint Volleyball - Red,RallyPoint Volleyball,Soft-touch indoor volleyball.,Red,0,0,11.95,20.42
198,27,RALL-Y0,RallyPoint Volleyball - Yellow,RallyPoint Volleyball,Soft-touch indoor volleyball.,Yellow,0,0,11.18,19.43
199,28,ACES-B0,AceStrike Tennis - Black,AceStrike Tennis,Graphite tennis racket - 300g.,Black,0,0,48.53,87.26
200,28,ACES-R0,AceStrike Tennis - Red,AceStrike Tennis,Graphite tennis racket - 300g.,Red,0,0,48.33,86.8
201,28,SMAS-G0,SmashPro Badminton - Grey,SmashPro Badminton,Lightweight badminton racket.,Grey,0,0,24.7,40.4
202,28,SMAS-N0,SmashPro Badminton - Navy,SmashPro Badminton,Lightweight badminton racket.,Navy,0,0,24.67,40.89
203,28,SPIN-O0,SpinMaster Table Tennis - Orange,SpinMaster Table Tennis,Table tennis bat with rubber grip.,Orange,0,0,12.92,22.51
204,28,SPIN-W0,SpinMaster Table Tennis - White,SpinMaster Table Tennis,Table tennis bat with rubber grip.,White,0,0,12.81,22.12
205,29,SPEE-P0,SpeedRope Pro - Pink,SpeedRope Pro,Adjustable steel cable speed rope.,Pink,0,0,9.18,14.6
206,29,SPEE-B0-1,SpeedRope Pro - Blue,SpeedRope Pro,Adjustable steel cable speed rope.,Blue,0,0,8.3,14.41
207,29,SPEE-T0,SpeedRope Pro - Teal,SpeedRope Pro,Adjustable steel cable speed rope.,Teal,0,0,8.19,14.77
208,29,WEIG-X0,WeightedRope,WeightedRope,Weighted jump rope for conditioning.,0,0,0,13.32,21.98
209,30,CUSH-YS,CushionRun Sock - Yellow - S,CushionRun Sock,Cushioned running socks - 3-pack.,Yellow,S,W,7.77,14.43
210,30,CUSH-BXL,CushionRun Sock - Blue - XL,CushionRun Sock,Cushioned running socks - 3-pack.,Blue,XL,W,7.32,14.73
211,30,CUSH-GS,CushionRun Sock - Grey - S,CushionRun Sock,Cushioned running socks - 3-pack.,Grey,S,U,7.45,15.15
212,30,CUSH-PM,CushionRun Sock - Pink - M,CushionRun Sock,Cushioned running socks - 3-pack.,Pink,M,U,7.82,14.74
213,30,CUSH-GM,CushionRun Sock - Grey - M,CushionRun Sock,Cushioned running socks - 3-pack.,Grey,M,U,7.39,15.25
214,30,ANKL-GXL,Ankle Sport Sock - Grey - XL,Ankle Sport Sock,Low-cut sport socks - 5-pack.,Grey,XL,U,6.34,13.45
